timestamp_local,timestamp_utc,target_altitude_deg,target_azimuth_deg,sun_altitude_deg,moon_altitude_deg,moon_separation_deg
2026-01-10T21:20:00+08:00,2026-01-10T13:20:00+00:00,41.891084,156.065121,-47.597374,-37.670604,111.194011
2026-01-10T21:30:00+08:00,2026-01-10T13:30:00+00:00,42.621604,159.289807,-49.470257,-35.943559,111.279295
2026-01-10T21:40:00+08:00,2026-01-10T13:40:00+00:00,43.249703,162.589417,-51.326785,-34.196338,111.363549
2026-01-10T21:50:00+08:00,2026-01-10T13:50:00+00:00,43.771067,165.955116,-53.163232,-32.431606,111.446746
2026-01-10T22:00:00+08:00,2026-01-10T14:00:00+00:00,44.181934,169.376318,-54.975220,-30.651790,111.528854
2026-01-10T22:10:00+08:00,2026-01-10T14:10:00+00:00,44.479221,172.840869,-56.757569,-28.859118,111.609847
2026-01-10T22:20:00+08:00,2026-01-10T14:20:00+00:00,44.660629,176.335322,-58.504106,-27.055643,111.689700
2026-01-10T22:30:00+08:00,2026-01-10T14:30:00+00:00,44.724726,179.845301,-60.207430,-25.243273,111.768390
2026-01-10T22:40:00+08:00,2026-01-10T14:40:00+00:00,44.671000,183.355939,-61.858634,-23.423788,111.845894
2026-01-10T22:50:00+08:00,2026-01-10T14:50:00+00:00,44.499880,186.852347,-63.446979,-21.598866,111.922195
2026-01-10T23:00:00+08:00,2026-01-10T15:00:00+00:00,44.212719,190.320090,-64.959540,-19.770097,111.997273
2026-01-10T23:10:00+08:00,2026-01-10T15:10:00+00:00,43.811743,193.745621,-66.380845,-17.939004,112.071114
2026-01-10T23:20:00+08:00,2026-01-10T15:20:00+00:00,43.299969,197.116659,-67.692604,-16.107053,112.143705
2026-01-10T23:30:00+08:00,2026-01-10T15:30:00+00:00,42.681104,200.422473,-68.873634,-14.275672,112.215034
2026-01-10T23:40:00+08:00,2026-01-10T15:40:00+00:00,41.959419,203.654068,-69.900194,-12.446258,112.285094
2026-01-10T23:50:00+08:00,2026-01-10T15:50:00+00:00,41.139629,206.804273,-70.746978,-10.620193,112.353877
2026-01-11T00:00:00+08:00,2026-01-10T16:00:00+00:00,40.226760,209.867732,-71.388953,-8.798853,112.421378
2026-01-11T00:10:00+08:00,2026-01-10T16:10:00+00:00,39.226036,212.840827,-71.804075,-6.983622,112.487597
2026-01-11T00:20:00+08:00,2026-01-10T16:20:00+00:00,38.142769,215.721541,-71.976436,-5.175894,112.552533
2026-01-11T00:30:00+08:00,2026-01-10T16:30:00+00:00,36.982264,218.509281,-71.899001,-3.377091,112.616188
2026-01-11T00:40:00+08:00,2026-01-10T16:40:00+00:00,35.749750,221.204682,-71.574953,-1.588669,112.678568
2026-01-11T00:50:00+08:00,2026-01-10T16:50:00+00:00,34.450309,223.809410,-71.017070,0.187874,112.739679
2026-01-11T01:00:00+08:00,2026-01-10T17:00:00+00:00,33.088840,226.325967,-70.245420,1.950986,112.799531
2026-01-11T01:10:00+08:00,2026-01-10T17:10:00+00:00,31.670021,228.757513,-69.284246,3.699055,112.858136
2026-01-11T01:20:00+08:00,2026-01-10T17:20:00+00:00,30.198295,231.107706,-68.159013,5.430397,112.915508
2026-01-11T01:30:00+08:00,2026-01-10T17:30:00+00:00,28.677850,233.380562,-66.894218,7.143249,112.971662
2026-01-11T01:40:00+08:00,2026-01-10T17:40:00+00:00,27.112627,235.580343,-65.512086,8.835758,113.026618
2026-01-11T01:50:00+08:00,2026-01-10T17:50:00+00:00,25.506315,237.711457,-64.032018,10.505975,113.080397
2026-01-11T02:00:00+08:00,2026-01-10T18:00:00+00:00,23.862364,239.778385,-62.470534,12.151843,113.133021
